ID Posla;Vrsta najemnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena najemnina;Vključenost obratovalnih stroškov v najemnino;Vključenost DDV;Stopnja DDV;Datum začetka najema;Datum prenehanja najema;Čas najema;Trajanje najema;Datum zaključka najema /Datum predčasne prekinitve najema;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
412534;5;04.02.2019;07.08.2013;141,42;0;0;;07.08.2013;10.04.2018;1;57;10.04.2018;;;04.02.2019;04.02.2019;1;4
412536;5;04.02.2019;01.10.2013;121;0;0;;01.10.2013;13.07.2018;1;58;13.07.2018;;;04.02.2019;04.02.2019;1;4
412583;5;04.02.2019;01.06.2013;85,43;0;0;;01.06.2013;21.12.2017;1;55;21.12.2017;;;04.02.2019;04.02.2019;1;4
412590;5;04.02.2019;01.03.2014;146,62;0;0;;01.03.2014;05.12.2017;1;46;05.12.2017;;;04.02.2019;04.02.2019;1;4
412692;5;04.02.2019;01.11.2017;180,28;0;0;;01.11.2017;23.05.2018;1;7;23.05.2018;;;30.07.2019;04.02.2019;1;4
412707;5;04.02.2019;01.11.2017;173,59;0;0;;01.11.2017;;2;;;;;30.07.2019;04.02.2019;1;4
412710;5;04.02.2019;01.11.2017;246,3;0;0;;01.11.2017;;2;;;;;30.07.2019;04.02.2019;1;4
412715;5;04.02.2019;01.11.2017;225,83;0;0;;01.11.2017;;2;;;;;30.07.2019;04.02.2019;1;4
412717;5;04.02.2019;10.10.2017;171,15;0;0;;10.10.2017;;2;;;;;30.07.2019;04.02.2019;1;4
412723;5;04.02.2019;01.11.2017;163,06;0;0;;01.11.2017;;2;;;;;30.07.2019;04.02.2019;1;4
412724;5;04.02.2019;01.12.2017;130,54;0;0;;01.12.2017;;2;;;;;30.07.2019;04.02.2019;1;4
412742;5;04.02.2019;01.12.2017;209,4;0;0;;01.12.2017;;2;;;;;30.07.2019;04.02.2019;1;4
