ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Interna oznaka oddanih prostorov;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta oddanih prostorov;Opremljenost oddanih prostorov;Mikrolokacija oddanih prostorov;Izložba;Nakupovalni center;Površina oddanih prostorov;Površina oddanih prostorov enaka delu stavbe;Pogodbena najemnina posameznih oddanih prostorov;Opombe o oddanih prostorih;Leto izgradnje stavbe;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina dela stavbe;Prostori dela stavbe;Uporabna površina oddanih prostorov;Gostinski vrt;Vključenost gostinskega vrta v najemnino;Površina gostinskega vrta
479415;1723;VIČ;LJUBLJANA;2067;1;SKLAD.PROSTORI;;;;;;14;1;;;;18,92;;;;1974;1252002 - Skladišča;pritličje;;4234;4234; proizvodni in skladiščni prostor;;;;
517548;1727;POLJANSKO PREDMESTJE;LJUBLJANA;808;14;6.nadstropje (3x pisarna);LJUBLJANA;ZEMLJEMERSKA ULICA;12;;14;5;1;3;;;85,2;;;;1975;9 - Poslovni del stavbe;nadstropje;;319;319; poslovni prostor;;;;
485184;2680;NOVE JARŠE;LJUBLJANA;382;112;3514;LJUBLJANA;ULICA HERMANA POTOČNIKA;11;;34;2;0;;;;101,66;;;;1997;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;4;103,9;98,3; bivalni prostor | klet | odprta terasa, balkon, loža;;;;
496181;2631;PORTOROŽ;PIRAN;2531;2;;PORTOROŽ;OBALA;55;;2;5;0;3;;;44,8;;;;1979;1220301 - Poslovni prostori;pritličje;;5437,5;4895; poslovni prostor;;;;
521050;657;MARIBOR GRAD;MARIBOR;1121;12;;MARIBOR;RAZLAGOVA ULICA;2;;12;2;1;;;;112,6;;;;2010;2 - Stanovanje;nadstropje;;112,6;82,6; bivalni prostor | klet;112,6;;;
488572;680;TEZNO;MARIBOR;3716;3;Sanitarije;MARIBOR;ZAGREBŠKA CESTA;83;A;;8;0;2;;;15,6;;;;1995;1274014 - Sanitarije;pritličje;;15,6;15,6; skupne sanitarije;15,6;;;
481577;1911;KAMNIK;KAMNIK;1080;1;;KAMNIK;USNJARSKA CESTA;9;;;5;0;3;;;30,44;;;;1949;1130001 - Bivalna enota v stavbi za posebne namene;pritličje;7;567,8;299,3; bivalni prostor | odprta terasa, balkon, loža;;;;
485181;1727;POLJANSKO PREDMESTJE;LJUBLJANA;1054;190;4283;;;;;190;4;0;;;;11,83;;;;2002;1242003 - Pokrito parkirišče;klet;;13,3;13,3; garažni parkirni prostor;;;;
504687;1722;TRNOVSKO PREDMESTJE;LJUBLJANA;7643;670;;;;;;;3;0;;;;12,5;;;;2005;15 - Garaža;klet;;12,5;12,5; garaža;12,5;;;
485533;1728;LJUBLJANA MESTO;LJUBLJANA;8;1;10-071-091;LJUBLJANA;ADAMIČ-LUNDROVO NABREŽJE;3;;;8;0;2;;;30;;;;1944;1230104 - Prodajalna;pritličje;;618,3;344,8; lokal, prodajalna;;;;
497347;1723;VIČ;LJUBLJANA;2501;24;;LJUBLJANA;NANOŠKA ULICA;3;;24;2;1;;;;27,9;;;;1986;2 - Stanovanje;nadstropje;;27,9;24,4; bivalni prostor | klet | odprta terasa, balkon, loža;24,4;;;
485406;680;TEZNO;MARIBOR;5140;18;;MARIBOR;V BOROVJU;7;;212;2;1;;;;19,22;;;;2008;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;1;19,2;19,2; bivalni prostor;;;;
479520;1738;DRAVLJE;LJUBLJANA;1394;482;glavno stopnišče - klet;LJUBLJANA;CELOVŠKA CESTA;264;;;14;0;;;;11;;;;1983;13 - Skupna raba;;;4357,9;0; skupni komunikacijski prostor;;;;
480278;184;GORNJA RADGONA;GORNJA RADGONA;507;2;;GORNJA RADGONA;VRTNA ULICA;22;;2;6;0;2;;;150,5;;;;1965;1220301 - Poslovni prostori;nadstropje;;173,9;0; poslovni prostor;;;;
484473;2357;IDRIJA - MESTO;IDRIJA;661;1;Pisarna št. 5;IDRIJA;TRG SV. AHACIJA;2;;1;5;1;2;;;15,4;;;Cena je za najem opremljene pisarne skupaj s pavšalno ocenjenimi stroški in obračunanim DDV.;1914;1220301 - Poslovni prostori;pritličje;;128,6;128,6; poslovni prostor;;;;
484567;1735;STOŽICE;LJUBLJANA;3542;1;5158;LJUBLJANA;RAIČEVA ULICA;6;G;;2;0;;;;75,1;;;;2003;1110002 - Stanovanje, ki se nahaja v krajni vrstni hiši;drugo;3;75,1;66,8; bivalni prostor | klet;;;;
513006;2626;IZOLA;IZOLA;2188;191;;IZOLA;TOMAŽIČEVA ULICA;4;A;191;4;0;;;;15,62;;;;2004;15 - Garaža;klet;;15,6;0; garaža;15,62;;;
424383;2118;CERKLJE;CERKLJE NA GORENJSKEM;1353;14;;ZGORNJI BRNIK;ZGORNJI BRNIK;130;;;8;0;2;;;17,97;;;;1962;14 - Del stavbe za potniški promet;;;6968,8;6968,8; prostor za množično uporabo | prostor za množično uporabo | prostor za množično uporabo | prostor za množično uporabo | prostor za množično uporabo | prostor za množično uporabo | prostor za množično uporabo | prostor za množično uporabo | prostor za množično uporabo;;;;
492425;2605;KOPER;KOPER;1162;17;;Koper;Pristaniška ulica;12; ;13;5;1;2;;;20;;;;1979;1220301 - Poslovni prostori;pritličje;;135,9;135,9; poslovni prostor;;;;
512885;2636;BEŽIGRAD;LJUBLJANA;3626;193;;LJUBLJANA;KRŽIČEVA ULICA;3;;;3;0;;;;12,4;;;;1996;1242003 - Pokrito parkirišče;klet;;12,4;12,4; garažni parkirni prostor;12,4;;;
516927;2605;KOPER;KOPER;2056;13;L08B;KOPER;ANKARANSKA CESTA;2;;13;8;0;2;;;20,86;;;;2010;10 - Trgovski del stavbe;pritličje;;20,9;20,9; lokal, prodajalna;;;;
509093;1723;VIČ;LJUBLJANA;9909;56;;LJUBLJANA;ULICA IVANE KOBILCE;9;;109;2;1;;;;47,8;;;;2013;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;;47,8;38,5; bivalni prostor | odprta terasa, balkon, loža;;;;
513303;2605;KOPER;KOPER;2056;48;U18;KOPER;ANKARANSKA CESTA;2;;48;8;0;3;;;60,5;;;;2010;7 - Prehrambni gostinski obrat;nadstropje;;56,6;56,6; lokal, prodajalna;;;;
500468;1075;OSTROŽNO;CELJE;2588;14;2 SOBI +2KAB;CELJE;POD GABRI;21;;14;2;0;;;;80,07;;;;1996;2 - Stanovanje;nadstropje;;84,2;75,9; bivalni prostor | klet | zaprta terasa, balkon, loža;;0;;
480528;1738;DRAVLJE;LJUBLJANA;566;2;1738-566-2;LJUBLJANA;ULICA BRATOV BABNIK;24;;2;2;1;;;;52,4;;;;1981;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;2;52,4;48,8; bivalni prostor | klet | odprta terasa, balkon, loža;52,4;;;
479996;1736;BRINJE I;LJUBLJANA;1052;24;;LJUBLJANA;BARAGOVA ULICA;7;;;11;0;;;;727,6;;;;1976;1252002 - Skladišča;pritličje;;727,6;727,6; proizvodni in skladiščni prostor;;;;
508654;889;MEŽICA;MEŽICA;1722;1;;MEŽICA;LEŠKA CESTA;5;B;1;2;0;;;;62,1;;;;1977;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;;62,1;62,1; bivalni prostor;62,1;;;
