ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
478507;1;11.01.2020;25.11.2019;888;0;;;;;;11.01.2020;11.01.2020;1;5
478517;1;11.01.2020;04.12.2019;132000;0;;;;;;11.01.2020;11.01.2020;1;5
478528;1;11.01.2020;04.12.2019;73000;0;;;;;;11.01.2020;11.01.2020;1;5
478540;1;11.01.2020;08.12.2019;130000;0;;;;;;11.01.2020;11.01.2020;1;5
478543;1;11.01.2020;09.12.2019;1500;0;;;;;;11.01.2020;11.01.2020;1;5
478549;1;11.01.2020;02.12.2019;24000;0;;;;;;11.01.2020;11.01.2020;1;5
478560;1;11.01.2020;13.12.2019;250000;0;;;;;;11.01.2020;11.01.2020;1;5
478569;1;11.01.2020;24.10.2019;120000;0;;;;;;11.01.2020;11.01.2020;1;5
478570;1;11.01.2020;23.10.2019;47000;0;;;;;;11.01.2020;11.01.2020;1;5
478577;1;11.01.2020;12.12.2019;65000;0;;;;;;11.01.2020;11.01.2020;1;5
478586;1;11.01.2020;11.12.2019;95000;0;;;;;;11.01.2020;11.01.2020;1;5
478595;1;11.01.2020;14.12.2019;46000;0;;;;;;11.01.2020;11.01.2020;1;5
478596;1;11.01.2020;12.12.2019;140000;0;;;;;;11.01.2020;11.01.2020;1;5
478597;1;11.01.2020;16.12.2019;114000;0;;;;;;11.01.2020;11.01.2020;1;5
478603;1;11.01.2020;28.11.2019;8500;0;;;;;;11.01.2020;11.01.2020;1;5
478604;1;11.01.2020;06.12.2019;3060;0;;;;;;11.01.2020;11.01.2020;1;5
478611;1;11.01.2020;03.12.2019;110000;0;;;;;;11.01.2020;11.01.2020;1;5
478619;1;11.01.2020;14.11.2019;11643,5;0;;;;;;11.01.2020;11.01.2020;1;5
478633;1;11.01.2020;14.11.2019;2926,25;0;;;;;;11.01.2020;11.01.2020;1;5
